id,name,russian,url,kind,score,status,episodes,episodes_aired,aired_on,released_on
20507,Noragami,Бездомный бог,/animes/20507-noragami,tv,7.94,released,12,12,2014-01-05,2014-03-23
32182,Mob Psycho 100,Моб Психо 100,/animes/z32182-mob-psycho-100,tv,8.49,released,12,12,2016-07-11,2016-09-27
31043,Boku dake ga Inai Machi,"Город, в котором меня нет",/animes/z31043-boku-dake-ga-inai-machi,tv,8.3,released,12,12,2016-01-08,2016-03-25
22199,Akame ga Kill!,Убийца Акамэ!,/animes/z22199-akame-ga-kill,tv,7.48,released,24,24,2014-07-07,2014-12-15
40028,Shingeki no Kyojin: The Final Season,Атака титанов: Финал,/animes/40028-shingeki-no-kyojin-the-final-season,tv,8.78,released,16,16,2020-12-07,2021-03-29
23755,Nanatsu no Taizai,Семь смертных грехов,/animes/23755-nanatsu-no-taizai,tv,7.61,released,24,24,2014-10-05,2015-03-29
6547,Angel Beats!,Ангельские ритмы!,/animes/y6547-angel-beats,tv,8.05,released,13,13,2010-04-03,2010-06-26
24833,Ansatsu Kyoushitsu,Класс убийц,/animes/z24833-ansatsu-kyoushitsu,tv,8.07,released,22,22,2015-01-10,2015-06-20
269,Bleach,Блич,/animes/y269-bleach,tv,7.98,released,366,366,2004-10-05,2012-03-27
20583,Haikyuu!!,Волейбол!!,/animes/z20583-haikyuu,tv,8.43,released,25,25,2014-04-06,2014-09-21
37779,Yakusoku no Neverland,Обещанный Неверленд,/animes/z37779-yakusoku-no-neverland,tv,8.47,released,12,12,2019-01-11,2019-03-29
30831,Kono Subarashii Sekai ni Shukufuku wo!,Этот замечательный мир!,/animes/x30831-kono-subarashii-sekai-ni-shukufuku-wo,tv,8.09,released,10,10,2016-01-14,2016-03-17
10620,Mirai Nikki (TV),Дневник будущего,/animes/10620-mirai-nikki-tv,tv,7.38,released,26,26,2011-10-09,2012-04-15
21881,Sword Art Online II,Мастера Меча Онлайн II,/animes/y21881-sword-art-online-ii,tv,6.71,released,24,24,2014-07-05,2014-12-20
9919,Ao no Exorcist,Синий экзорцист,/animes/z9919-ao-no-exorcist,tv,7.47,released,25,24,2011-04-17,2011-10-02
1,Cowboy Bebop,Ковбой Бибоп,/animes/1-cowboy-bebop,tv,8.75,released,26,0,1998-04-03,1999-04-24
22535,Kiseijuu: Sei no Kakuritsu,Паразит: Учение о жизни,/animes/22535-kiseijuu-sei-no-kakuritsu,tv,8.32,released,24,24,2014-10-09,2015-03-26
199,Sen to Chihiro no Kamikakushi,Унесённые призраками,/animes/z199-sen-to-chihiro-no-kamikakushi,movie,8.77,released,1,0,2001-07-20,
30,Shinseiki Evangelion,Евангелион нового поколения,/animes/30-shinseiki-evangelion,tv,8.36,released,26,0,1995-10-04,1996-03-27
33352,Violet Evergarden,Вайолет Эвергарден,/animes/33352-violet-evergarden,tv,8.69,released,13,13,2018-01-11,2018-04-05
2904,Code Geass: Hangyaku no Lelouch R2,Код Гиас: Восставший Лелуш 2,/animes/2904-code-geass-hangyaku-no-lelouch-r2,tv,8.91,released,25,0,2008-04-06,2008-09-28
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Этот глупый свин не понимает мечту девочки-зайки,/animes/z37450-seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai,tv,8.23,released,13,13,2018-10-04,2018-12-27
38691,Dr. Stone,Доктор Стоун,/animes/z38691-dr-stone,tv,8.26,released,24,24,2019-07-05,2019-12-13
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Госпожа Кагуя: в любви как на войне,/animes/37999-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,tv,8.4,released,12,12,2019-01-12,2019-03-30
28223,Death Parade,Смертельный парад,/animes/28223-death-parade,tv,8.13,released,12,12,2015-01-10,2015-03-28
27899,Tokyo Ghoul √A,Токийский гуль √A,/animes/27899-tokyo-ghoul-a,tv,7.03,released,12,12,2015-01-09,2015-03-27
38408,Boku no Hero Academia 4th Season,Моя геройская академия 4,/animes/38408-boku-no-hero-academia-4th-season,tv,7.86,released,25,25,2019-10-12,2020-04-04
44511,Chainsaw Man,Человек-бензопила,/animes/44511-chainsaw-man,tv,8.44,released,12,12,2022-10-12,2022-12-28
34572,Black Clover,Чёрный клевер,/animes/z34572-black-clover,tv,8.14,released,170,170,2017-10-03,2021-03-30
34134,One Punch Man 2nd Season,Ванпанчмен 2,/animes/z34134-one-punch-man-2nd-season,tv,7.53,released,12,12,2019-04-10,2019-07-03
6702,Fairy Tail,Хвост Феи,/animes/6702-fairy-tail,tv,7.57,released,175,175,2009-10-12,2013-03-30
18679,Kill la Kill,Убей или умри,/animes/z18679-kill-la-kill,tv,8.03,released,24,24,2013-10-04,2014-03-28
50265,Spy x Family,Семья шпиона,/animes/50265-spy-x-family,tv,8.44,released,12,12,2022-04-09,2022-06-25
14719,JoJo no Kimyou na Bouken (TV),Невероятное приключение ДжоДжо,/animes/14719-jojo-no-kimyou-na-bouken-tv,tv,7.87,released,26,26,2012-10-06,2013-04-06
35849,Darling in the FranXX,Милый во Франксе,/animes/35849-darling-in-the-franxx,tv,7.2,released,24,24,2018-01-13,2018-07-07
11111,Another,Иная,/animes/11111-another,tv,7.46,released,12,12,2012-01-10,2012-03-27
37521,Vinland Saga,Сага о Винланде,/animes/37521-vinland-saga,tv,8.77,released,24,24,2019-07-08,2019-12-30
3588,Soul Eater,Пожиратель душ,/animes/3588-soul-eater,tv,7.85,released,51,0,2008-04-07,2009-03-30
2001,Tengen Toppa Gurren Lagann,"Гуррен-Лаганн, пронзающий небеса",/animes/z2001-tengen-toppa-gurren-lagann,tv,8.64,released,27,0,2007-04-01,2007-09-30
28999,Charlotte,Шарлотта,/animes/28999-charlotte,tv,7.76,released,13,13,2015-07-05,2015-09-27
35790,Tate no Yuusha no Nariagari,Восхождение героя щита,/animes/z35790-tate-no-yuusha-no-nariagari,tv,7.91,released,25,25,2019-01-09,2019-06-26
28171,Shokugeki no Souma,Повар-боец Сома,/animes/28171-shokugeki-no-souma,tv,8.12,released,24,24,2015-04-04,2015-09-26
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Клинок, рассекающий демонов: Бесконечный поезд. Фильм",/animes/z40456-kimetsu-no-yaiba-movie-mugen-ressha-hen,movie,8.55,released,1,0,2020-10-16,
13601,Psycho-Pass,Психопаспорт,/animes/z13601-psycho-pass,tv,8.33,released,22,22,2012-10-12,2013-03-22
29803,Overlord,Повелитель,/animes/29803-overlord,tv,7.9,released,13,13,2015-07-07,2015-09-29
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Невиданный цветок,/animes/9989-ano-hi-mita-hana-no-namae-wo-bokutachi-wa-mada-shiranai,tv,8.29,released,11,11,2011-04-15,2011-06-24
37510,Mob Psycho 100 II,Моб Психо 100 2,/animes/z37510-mob-psycho-100-ii,tv,8.78,released,13,13,2019-01-07,2019-04-01
47778,Kimetsu no Yaiba: Yuukaku-hen,"Клинок, рассекающий демонов: Квартал красных фонарей",/animes/47778-kimetsu-no-yaiba-yuukaku-hen,tv,8.7,released,11,11,2021-12-05,2022-02-13
15809,Hataraku Maou-sama!,Повелитель тьмы на подработке!,/animes/15809-hataraku-maou-sama,tv,7.7,released,13,13,2013-04-04,2013-06-27
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Может, я встречу тебя в подземелье?",/animes/28121-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka,tv,7.53,released,13,13,2015-04-04,2015-06-27
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,Этот замечательный мир! 2,/animes/y32937-kono-subarashii-sekai-ni-shukufuku-wo-2,tv,8.24,released,10,10,2017-01-12,2017-03-16
37430,Tensei shitara Slime Datta Ken,О моём перерождении в слизь,/animes/z37430-tensei-shitara-slime-datta-ken,tv,8.13,released,24,25,2018-10-02,2019-03-19
34933,Kakegurui,Безумный азарт,/animes/34933-kakegurui,tv,7.22,released,12,12,2017-07-01,2017-09-23
